name,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,Connector size,Battery Size,Distance Driven,Range Buffer,Driving Eff,Inverter Eff,Dispatch Time,origin
mazda glc,46.6,4,86,65,2110,17.9,80,101.2,7,72,15,36,52,44,japan
dodge colt,27.9,4,156,105,2800,14.4,80,63.8,7,212,55,106,192,44,usa
datsun 210,40.8,4,85,65,2110,19.2,80,89.6,7,70,15,35,50,44,japan
vw rabbit c (diesel),44.3,4,90,48,2085,21.7,80,96.6,7,80,-2,40,60,44,europe
vw dasher (diesel),43.4,4,90,48,2335,23.7,80,94.8,7,80,-2,40,60,44,europe
audi 5000s (diesel),36.4,5,121,67,2950,19.9,80,80.8,10,142,17,71,122,45,europe
mercedes-benz 240d,30,4,146,67,3250,21.8,80,68,7,192,17,96,172,44,europe
honda civic 1500 gl,44.6,4,91,67,1850,13.8,80,97.2,7,82,17,41,62,44,japan
renault lecar deluxe,40.9,4,85,,1835,17.3,80,89.8,7,70,-50,35,50,44,europe
subaru dl,33.8,4,97,67,2145,18,80,75.6,7,94,17,47,74,44,japan
vokswagen rabbit,29.8,4,89,62,1845,15.3,80,67.6,7,78,12,39,58,44,europe
datsun 280-zx,32.7,6,168,132,2910,11.4,80,73.4,13,236,82,118,216,46,japan
mazda rx-7 gs,23.7,3,70,100,2420,12.5,80,55.4,4,40,50,20,20,43,japan
triumph tr7 coupe,35,4,122,88,2500,15.1,80,78,7,144,38,72,124,44,europe
ford mustang cobra,23.6,4,140,,2905,14.3,80,55.2,7,180,-50,90,160,44,usa
honda accord,32.4,4,107,72,2290,17,80,72.8,7,114,22,57,94,44,japan
plymouth reliant,27.2,4,135,84,2490,15.7,81,62.4,7,170,34,85,150,44,usa
buick skylark,26.6,4,151,84,2635,16.4,81,61.2,7,202,34,101,182,44,usa
dodge aries wagon (sw),25.8,4,156,92,2620,14.4,81,59.6,7,212,42,106,192,44,usa
chevrolet citation,23.5,6,173,110,2725,12.6,81,55,13,246,60,123,226,46,usa
plymouth reliant,30,4,135,84,2385,12.9,81,68,7,170,34,85,150,44,usa
toyota starlet,39.1,4,79,58,1755,16.9,81,86.2,7,58,8,29,38,44,japan
plymouth champ,39,4,86,64,1875,16.4,81,86,7,72,14,36,52,44,usa
honda civic 1300,35.1,4,81,60,1760,16.1,81,78.2,7,62,10,31,42,44,japan
subaru,32.3,4,97,67,2065,17.8,81,72.6,7,94,17,47,74,44,japan
datsun 210 mpg,37,4,85,65,1975,19.4,81,82,7,70,15,35,50,44,japan
toyota tercel,37.7,4,89,62,2050,17.3,81,83.4,7,78,12,39,58,44,japan
mazda glc 4,34.1,4,91,68,1985,16,81,76.2,7,82,18,41,62,44,japan
plymouth horizon 4,34.7,4,105,63,2215,14.9,81,77.4,7,110,13,55,90,44,usa
ford escort 4w,34.4,4,98,65,2045,16.2,81,76.8,7,96,15,48,76,44,usa
ford escort 2h,29.9,4,98,65,2380,20.7,81,67.8,7,96,15,48,76,44,usa
volkswagen jetta,33,4,105,74,2190,14.2,81,74,7,110,24,55,90,44,europe
renault 18i,34.5,4,100,,2320,15.8,81,77,7,100,-50,50,80,44,europe
honda prelude,33.7,4,107,75,2210,14.4,81,75.4,7,114,25,57,94,44,japan
toyota corolla,32.4,4,108,75,2350,16.8,81,72.8,7,116,25,58,96,44,japan
datsun 200sx,32.9,4,119,100,2615,14.8,81,73.8,7,138,50,69,118,44,japan
mazda 626,31.6,4,120,74,2635,18.3,81,71.2,7,140,24,70,120,44,japan
peugeot 505s turbo diesel,28.1,4,141,80,3230,20.4,81,64.2,7,182,30,91,162,44,europe
volvo diesel,30.7,6,145,76,3160,19.6,81,69.4,13,190,26,95,170,46,europe
toyota cressida,25.4,6,168,116,2900,12.6,81,58.8,13,236,66,118,216,46,japan
datsun 810 maxima,24.2,6,146,120,2930,13.8,81,56.4,13,192,70,96,172,46,japan
buick century,22.4,6,231,110,3415,15.8,81,52.8,13,362,60,181,342,46,usa
oldsmobile cutlass ls,26.6,8,350,105,3725,19,81,61.2,19,600,55,300,580,48,usa
ford granada gl,20.2,6,200,88,3060,17.1,81,48.4,13,300,38,150,280,46,usa
chrysler lebaron salon,17.6,6,225,85,3465,16.6,81,43.2,13,350,35,175,330,46,usa
chevrolet cavalier,28,4,112,88,2605,19.6,82,64,7,124,38,62,104,44,usa
chevrolet cavalier wagon,27,4,112,88,2640,18.6,82,62,7,124,38,62,104,44,usa
chevrolet cavalier 2-door,34,4,112,88,2395,18,82,76,7,124,38,62,104,44,usa
pontiac j2000 se hatchback,31,4,112,85,2575,16.2,82,70,7,124,35,62,104,44,usa
dodge aries se,29,4,135,84,2525,16,82,66,7,170,34,85,150,44,usa
pontiac phoenix,27,4,151,90,2735,18,82,62,7,202,40,101,182,44,usa
ford fairmont futura,24,4,140,92,2865,16.4,82,56,7,180,42,90,160,44,usa
amc concord dl,23,4,151,,3035,20.5,82,54,7,202,-50,101,182,44,usa
volkswagen rabbit l,36,4,105,74,1980,15.3,82,80,7,110,24,55,90,44,europe
mazda glc custom l,37,4,91,68,2025,18.2,82,82,7,82,18,41,62,44,japan
mazda glc custom,31,4,91,68,1970,17.6,82,70,7,82,18,41,62,44,japan
plymouth horizon miser,38,4,105,63,2125,14.7,82,84,7,110,13,55,90,44,usa
mercury lynx l,36,4,98,70,2125,17.3,82,80,7,96,20,48,76,44,usa
nissan stanza xe,36,4,120,88,2160,14.5,82,80,7,140,38,70,120,44,japan
honda accord,36,4,107,75,2205,14.5,82,80,7,114,25,57,94,44,japan
toyota corolla,34,4,108,70,2245,16.9,82,76,7,116,20,58,96,44,japan
honda civic,38,4,91,67,1965,15,82,84,7,82,17,41,62,44,japan
honda civic (auto),32,4,91,67,1965,15.7,82,72,7,82,17,41,62,44,japan
datsun 310 gx,38,4,91,67,1995,16.2,82,84,7,82,17,41,62,44,japan
buick century limited,25,6,181,110,2945,16.4,82,58,13,262,60,131,242,46,usa
oldsmobile cutlass ciera (diesel),38,6,262,85,3015,17,82,84,13,424,35,212,404,46,usa
chrysler lebaron medallion,26,4,156,92,2585,14.5,82,60,7,212,42,106,192,44,usa
ford granada l,22,6,232,112,2835,14.7,82,52,13,364,62,182,344,46,usa
toyota celica gt,32,4,144,96,2665,13.9,82,72,7,188,46,94,168,44,japan
dodge charger 2.2,36,4,135,84,2370,13,82,80,7,170,34,85,150,44,usa
chevrolet camaro,27,4,151,90,2950,17.3,82,62,7,202,40,101,182,44,usa
ford mustang gl,27,4,140,86,2790,15.6,82,62,7,180,36,90,160,44,usa
vw pickup,44,4,97,52,2130,24.6,82,96,7,94,2,47,74,44,europe
dodge rampage,32,4,135,84,2295,11.6,82,72,7,170,34,85,150,44,usa
ford ranger,28,4,120,79,2625,18.6,82,64,7,140,29,70,120,44,usa
chevy s-10,31,4,119,82,2720,19.4,82,70,7,138,32,69,118,44,usa
